Time (min),Event Type,Order ID,Courier ID,Start Node,End Node,Amount ($),Urgency,Time Limit (min),Total Orders,Completed Orders,Pending Orders,In Progress,Total Revenue ($),Total Penalty ($),Timeout Orders,Avg Wait Time (min),Idle Couriers,Busy Couriers,Details
10.0,ARRIVAL,1,,8,7,20.217305028103425,9,41.0,1,0,1,0,0,0,0,0,5,0,Order arrived
10.0,ASSIGN,1,1,8,7,20.217305028103425,9,41.0,1,0,0,1,0,0,0,0,4,1,"Assigned to Courier 1, Path: 8 -> 7, Cost: 6"
15.0,ARRIVAL,2,,1,2,31.306402360810615,7,32.0,2,0,1,1,0,0,0,0,4,1,Order arrived
15.0,ASSIGN,2,2,1,2,31.306402360810615,7,32.0,2,0,0,2,0,0,0,0,3,2,"Assigned to Courier 2, Path: 1 -> 2, Cost: 5"
16.0,COMPLETE,1,1,8,7,20.217305028103425,9,41.0,2,1,0,1,20.217305028103425,0.0,0,6.0,3,2,"Order completed, Revenue: $20.22"
20.0,COMPLETE,2,2,1,2,31.306402360810615,7,32.0,2,2,0,0,51.52370738891404,0.0,0,5.5,4,1,"Order completed, Revenue: $31.31"
25.0,ARRIVAL,3,,6,4,54.99395216354181,4,35.0,3,2,1,0,51.52370738891404,0.0,0,5.5,5,0,Order arrived
25.0,ASSIGN,3,1,6,4,54.99395216354181,4,35.0,3,2,0,1,51.52370738891404,0.0,0,5.5,4,1,"Assigned to Courier 1, Path: 6 -> 5 -> 4, Cost: 5"
30.0,COMPLETE,3,1,6,4,54.99395216354181,4,35.0,3,3,0,0,106.51765955245585,0.0,0,5.333333333333333,4,1,"Order completed, Revenue: $54.99"
40.0,ARRIVAL,4,,3,4,68.0461118118704,10,21.0,4,3,1,0,106.51765955245585,0.0,0,5.333333333333333,5,0,Order arrived
40.0,ASSIGN,4,1,3,4,68.0461118118704,10,21.0,4,3,0,1,106.51765955245585,0.0,0,5.333333333333333,4,1,"Assigned to Courier 1, Path: 3 -> 5 -> 4, Cost: 6"
46.0,COMPLETE,4,1,3,4,68.0461118118704,10,21.0,4,4,0,0,174.56377136432627,0.0,0,5.5,4,1,"Order completed, Revenue: $68.05"
60.0,ARRIVAL,5,,7,2,37.54020467257743,7,37.0,5,4,1,0,174.56377136432627,0.0,0,5.5,5,0,Order arrived
60.0,ASSIGN,5,1,7,2,37.54020467257743,7,37.0,5,4,0,1,174.56377136432627,0.0,0,5.5,4,1,"Assigned to Courier 1, Path: 7 -> 4 -> 2, Cost: 8"
65.0,ARRIVAL,6,,4,8,55.734794575672005,8,24.0,6,4,1,1,174.56377136432627,0.0,0,5.5,4,1,Order arrived
65.0,ASSIGN,6,2,4,8,55.734794575672005,8,24.0,6,4,0,2,174.56377136432627,0.0,0,5.5,3,2,"Assigned to Courier 2, Path: 4 -> 5 -> 6 -> 8, Cost: 8"
68.0,COMPLETE,5,1,7,2,37.54020467257743,7,37.0,6,5,0,1,212.1039760369037,0.0,0,6.0,3,2,"Order completed, Revenue: $37.54"
70.0,ARRIVAL,7,,9,6,45.069304932078495,3,39.0,7,5,1,1,212.1039760369037,0.0,0,6.0,4,1,Order arrived
70.0,ASSIGN,7,1,9,6,45.069304932078495,3,39.0,7,5,0,2,212.1039760369037,0.0,0,6.0,3,2,"Assigned to Courier 1, Path: 9 -> 8 -> 6, Cost: 7"
73.0,COMPLETE,6,2,4,8,55.734794575672005,8,24.0,7,6,0,1,267.8387706125757,0.0,0,6.333333333333333,3,2,"Order completed, Revenue: $55.73"
77.0,COMPLETE,7,1,9,6,45.069304932078495,3,39.0,7,7,0,0,312.9080755446542,0.0,0,6.428571428571429,4,1,"Order completed, Revenue: $45.07"
80.0,ARRIVAL,8,,5,4,26.496169251345435,3,24.0,8,7,1,0,312.9080755446542,0.0,0,6.428571428571429,5,0,Order arrived
80.0,ASSIGN,8,1,5,4,26.496169251345435,3,24.0,8,7,0,1,312.9080755446542,0.0,0,6.428571428571429,4,1,"Assigned to Courier 1, Path: 5 -> 4, Cost: 4"
84.0,COMPLETE,8,1,5,4,26.496169251345435,3,24.0,8,8,0,0,339.4042447959996,0.0,0,6.125,4,1,"Order completed, Revenue: $26.50"
