Time (min),Event Type,Order ID,Courier ID,Start Node,End Node,Amount ($),Urgency,Time Limit (min),Total Orders,Completed Orders,Pending Orders,In Progress,Total Revenue ($),Total Penalty ($),Timeout Orders,Avg Wait Time (min),Idle Couriers,Busy Couriers,Details
10.0,ARRIVAL,1,,3,2,67.48347162406415,9,24.0,1,0,1,0,0,0,0,0,5,0,Order arrived
10.0,ASSIGN,1,1,3,2,67.48347162406415,9,24.0,1,0,0,1,0,0,0,0,4,1,"Assigned to Courier 1, Path: 3 -> 5 -> 2, Cost: 8"
10.33,ARRIVAL,2,,5,2,50.05940241147829,5,25.0,2,0,1,1,0,0,0,0,4,1,Order arrived
10.33,ASSIGN,2,2,5,2,50.05940241147829,5,25.0,2,0,0,2,0,0,0,0,3,2,"Assigned to Courier 2, Path: 5 -> 2, Cost: 6"
10.66,ARRIVAL,3,,2,6,91.74960628081956,9,30.0,3,0,1,2,0,0,0,0,3,2,Order arrived
10.66,ASSIGN,3,3,2,6,91.74960628081956,9,30.0,3,0,0,3,0,0,0,0,2,3,"Assigned to Courier 3, Path: 2 -> 5 -> 6, Cost: 7"
10.99,ARRIVAL,4,,1,9,46.771988628414945,10,21.0,4,0,1,3,0,0,0,0,2,3,Order arrived
10.99,ASSIGN,4,4,1,9,46.771988628414945,10,21.0,4,0,0,4,0,0,0,0,1,4,"Assigned to Courier 4, Path: 1 -> 2 -> 4 -> 7 -> 9, Cost: 15"
11.32,ARRIVAL,5,,3,2,56.71652352284889,5,22.0,5,0,1,4,0,0,0,0,1,4,Order arrived
11.32,ASSIGN,5,5,3,2,56.71652352284889,5,22.0,5,0,0,5,0,0,0,0,0,5,"Assigned to Courier 5, Path: 3 -> 5 -> 2, Cost: 8"
11.65,ARRIVAL,6,,7,6,85.27374761033067,8,34.0,6,0,1,5,0,0,0,0,0,5,Order arrived
11.98,ARRIVAL,7,,2,2,56.12636717556938,6,30.0,7,0,2,5,0,0,0,0,0,5,Order arrived
12.31,ARRIVAL,8,,8,9,54.652600938270105,10,25.0,8,0,3,5,0,0,0,0,0,5,Order arrived
12.64,ARRIVAL,9,,5,1,76.38857215889394,9,27.0,9,0,4,5,0,0,0,0,0,5,Order arrived
12.97,ARRIVAL,10,,7,9,83.59025986203365,8,34.0,10,0,5,5,0,0,0,0,0,5,Order arrived
13.3,ARRIVAL,11,,5,7,45.797346004844385,7,21.0,11,0,6,5,0,0,0,0,0,5,Order arrived
13.63,ARRIVAL,12,,1,8,30.05919737120881,5,26.0,12,0,7,5,0,0,0,0,0,5,Order arrived
13.96,ARRIVAL,13,,3,3,53.86229308517055,10,27.0,13,0,8,5,0,0,0,0,0,5,Order arrived
14.29,ARRIVAL,14,,2,3,82.39996720056666,10,25.0,14,0,9,5,0,0,0,0,0,5,Order arrived
14.620000000000001,ARRIVAL,15,,5,8,37.005540301446686,8,31.0,15,0,10,5,0,0,0,0,0,5,Order arrived
16.33,COMPLETE,2,2,5,2,50.05940241147829,5,25.0,15,1,10,4,50.05940241147829,0.0,0,5.999999999999998,0,5,"Order completed, Revenue: $50.06"
