Time (min),Event Type,Order ID,Courier ID,Start Node,End Node,Amount ($),Urgency,Time Limit (min),Total Orders,Completed Orders,Pending Orders,In Progress,Total Revenue ($),Total Penalty ($),Timeout Orders,Avg Wait Time (min),Idle Couriers,Busy Couriers,Details
10.0,ARRIVAL,1,,7,5,55.20627651959767,9,42.0,1,0,1,0,0,0,0,0,5,0,Order arrived
10.0,ASSIGN,1,1,7,5,55.20627651959767,9,42.0,1,0,0,1,0,0,0,0,4,1,"Assigned to Courier 1, Path: 7 -> 4 -> 5, Cost: 19"
15.0,ARRIVAL,2,,9,4,93.15232496627783,1,40.0,2,0,1,1,0,0,0,0,4,1,Order arrived
15.0,ASSIGN,2,2,9,4,93.15232496627783,1,40.0,2,0,0,2,0,0,0,0,3,2,"Assigned to Courier 2, Path: 9 -> 7 -> 4, Cost: 12"
25.0,ARRIVAL,3,,9,6,44.390722452593344,3,38.0,3,0,1,2,0,0,0,0,3,2,Order arrived
25.0,ASSIGN,3,3,9,6,44.390722452593344,3,38.0,3,0,0,3,0,0,0,0,2,3,"Assigned to Courier 3, Path: 9 -> 8 -> 6, Cost: 17"
27.0,COMPLETE,2,2,9,4,93.15232496627783,1,40.0,3,1,0,2,93.15232496627783,0.0,0,12.0,2,3,"Order completed, Revenue: $93.15"
29.0,COMPLETE,1,1,7,5,55.20627651959767,9,42.0,3,2,0,1,148.3586014858755,0.0,0,15.5,3,2,"Order completed, Revenue: $55.21"
40.0,ARRIVAL,4,,2,7,54.93263102852974,7,30.0,4,2,1,1,148.3586014858755,0.0,0,15.5,4,1,Order arrived
40.0,ASSIGN,4,1,2,7,54.93263102852974,7,30.0,4,2,0,2,148.3586014858755,0.0,0,15.5,3,2,"Assigned to Courier 1, Path: 2 -> 4 -> 7, Cost: 15"
42.0,COMPLETE,3,3,9,6,44.390722452593344,3,38.0,4,3,0,1,192.74932393846885,0.0,0,16.0,3,2,"Order completed, Revenue: $44.39"
55.0,COMPLETE,4,1,2,7,54.93263102852974,7,30.0,4,4,0,0,247.6819549669986,0.0,0,15.75,4,1,"Order completed, Revenue: $54.93"
60.0,ARRIVAL,5,,8,7,67.50478448585017,6,38.0,5,4,1,0,247.6819549669986,0.0,0,15.75,5,0,Order arrived
60.0,ASSIGN,5,1,8,7,67.50478448585017,6,38.0,5,4,0,1,247.6819549669986,0.0,0,15.75,4,1,"Assigned to Courier 1, Path: 8 -> 9 -> 7, Cost: 15"
65.0,ARRIVAL,6,,7,3,49.744813124509534,10,40.0,6,4,1,1,247.6819549669986,0.0,0,15.75,4,1,Order arrived
65.0,ASSIGN,6,2,7,3,49.744813124509534,10,40.0,6,4,0,2,247.6819549669986,0.0,0,15.75,3,2,"Assigned to Courier 2, Path: 7 -> 4 -> 5 -> 3, Cost: 23"
70.0,ARRIVAL,7,,9,8,83.20871993118833,6,43.0,7,4,1,2,247.6819549669986,0.0,0,15.75,3,2,Order arrived
70.0,ASSIGN,7,3,9,8,83.20871993118833,6,43.0,7,4,0,3,247.6819549669986,0.0,0,15.75,2,3,"Assigned to Courier 3, Path: 9 -> 8, Cost: 11"
75.0,COMPLETE,5,1,8,7,67.50478448585017,6,38.0,7,5,0,2,315.18673945284877,0.0,0,15.6,2,3,"Order completed, Revenue: $67.50"
80.0,ARRIVAL,8,,8,9,41.27801043351782,3,53.0,8,5,1,2,315.18673945284877,0.0,0,15.6,3,2,Order arrived
80.0,ASSIGN,8,1,8,9,41.27801043351782,3,53.0,8,5,0,3,315.18673945284877,0.0,0,15.6,2,3,"Assigned to Courier 1, Path: 8 -> 9, Cost: 11"
81.0,COMPLETE,7,3,9,8,83.20871993118833,6,43.0,8,6,0,2,398.39545938403705,0.0,0,14.833333333333334,2,3,"Order completed, Revenue: $83.21"
88.0,COMPLETE,6,2,7,3,49.744813124509534,10,40.0,8,7,0,1,448.1402725085466,0.0,0,16.0,3,2,"Order completed, Revenue: $49.74"
91.0,COMPLETE,8,1,8,9,41.27801043351782,3,53.0,8,8,0,0,489.4182829420644,0.0,0,15.375,4,1,"Order completed, Revenue: $41.28"
